,precision,recall,f1-score,support
açıklama,0.7865168539325843,0.7766990291262136,0.7815771109560363,721.0
değerlendirme,0.16666666666666666,0.07692307692307693,0.10526315789473684,26.0
hipotez,0.5614035087719298,0.5274725274725275,0.5439093484419264,182.0
soru,0.5972222222222222,0.7962962962962963,0.6825396825396826,54.0
talimat,0.3787878787878788,0.4716981132075472,0.42016806722689076,53.0
tanı,0.1774193548387097,0.19642857142857142,0.1864406779661017,56.0
tedavi,0.4117647058823529,0.4117647058823529,0.4117647058823529,34.0
test/prosedür,0.3125,0.2631578947368421,0.2857142857142857,19.0
accuracy,0.6602620087336245,0.6602620087336245,0.6602620087336245,0.6602620087336245
macro avg,0.42403514888779303,0.44005502688417847,0.42717212957775164,1145.0
weighted avg,0.660075253329208,0.6602620087336245,0.6587255374112115,1145.0
